,c_i_child,c_i_parent,counts,p
423,5,24,12,0.012
424,5,25,13,0.013
425,5,26,13,0.013
426,5,27,12,0.012
427,5,28,10,0.01
428,5,29,11,0.011
429,5,30,13,0.013
430,5,31,9,0.009
431,5,32,11,0.011
432,5,33,6,0.006
433,5,34,9,0.009
434,5,35,7,0.007
435,5,36,8,0.008
436,5,37,12,0.012
437,5,38,10,0.01
438,5,39,8,0.008
439,5,40,9,0.009
440,5,41,8,0.008
441,5,42,3,0.003
442,5,43,2,0.002
443,5,44,11,0.011
444,5,45,3,0.003
445,5,46,4,0.004
446,5,47,5,0.005
447,5,48,7,0.007
448,5,49,3,0.003
449,5,50,4,0.004
450,5,51,2,0.002
451,5,52,2,0.002
452,5,53,4,0.004
453,5,54,4,0.004
454,5,55,6,0.006
455,5,56,1,0.001
456,5,57,3,0.003
457,5,58,3,0.003
458,5,59,2,0.002
459,5,60,2,0.002
460,5,61,1,0.001
461,5,62,2,0.002
462,5,63,0,0.0
463,5,64,2,0.002
464,5,65,5,0.005
465,5,66,0,0.0
466,5,67,2,0.002
467,5,68,1,0.001
468,5,69,1,0.001
469,5,70,2,0.002
470,5,71,3,0.003
471,5,72,2,0.002
472,5,73,1,0.001
473,5,74,0,0.0
474,5,75,1,0.001
475,5,76,1,0.001
476,5,77,0,0.0
477,5,78,1,0.001
478,5,79,0,0.0
479,5,80,1,0.001
480,5,81,0,0.0
481,5,82,0,0.0
482,5,83,1,0.001
483,5,84,1,0.001
484,5,85,1,0.001
485,5,86,0,0.0
486,5,87,0,0.0
487,5,88,1,0.001
488,5,89,0,0.0
489,5,90,0,0.0
490,5,91,0,0.0
491,5,92,0,0.0
492,5,93,0,0.0
493,5,94,0,0.0
494,5,95,1,0.001
495,5,96,0,0.0
496,5,97,0,0.0
497,5,98,0,0.0
498,5,99,0,0.0
499,5,100,0,0.0
500,6,1,41,0.041
501,6,2,44,0.044
502,6,3,48,0.048
503,6,4,31,0.031
504,6,5,45,0.045
505,6,6,32,0.032
506,6,7,27,0.027
507,6,8,34,0.034
508,6,9,32,0.032
509,6,10,27,0.027
510,6,11,23,0.023
511,6,12,26,0.026
512,6,13,19,0.019
513,6,14,31,0.031
514,6,15,33,0.033
515,6,16,26,0.026
516,6,17,23,0.023
517,6,18,18,0.018
518,6,19,16,0.016
519,6,20,21,0.021
520,6,21,18,0.018
521,6,22,20,0.02
522,6,23,19,0.019
523,6,24,12,0.012
524,6,25,8,0.008
525,6,26,17,0.017
526,6,27,9,0.009
527,6,28,11,0.011
528,6,29,7,0.007
529,6,30,14,0.014
530,6,31,14,0.014
531,6,32,14,0.014
532,6,33,14,0.014
533,6,34,8,0.008
534,6,35,9,0.009
535,6,36,12,0.012
536,6,37,10,0.01
537,6,38,12,0.012
538,6,39,10,0.01
539,6,40,4,0.004
540,6,41,8,0.008
541,6,42,7,0.007
542,6,43,9,0.009
543,6,44,6,0.006
544,6,45,12,0.012
545,6,46,5,0.005
546,6,47,3,0.003
547,6,48,12,0.012
548,6,49,8,0.008
549,6,50,2,0.002
550,6,51,4,0.004
551,6,52,8,0.008
552,6,53,3,0.003
553,6,54,4,0.004
554,6,55,6,0.006
555,6,56,1,0.001
556,6,57,2,0.002
557,6,58,4,0.004
558,6,59,5,0.005
559,6,60,2,0.002
560,6,61,2,0.002
561,6,62,8,0.008
562,6,63,3,0.003
563,6,64,2,0.002
564,6,65,5,0.005
565,6,66,1,0.001
566,6,67,5,0.005
567,6,68,3,0.003
568,6,69,3,0.003
569,6,70,2,0.002
570,6,71,4,0.004
571,6,72,2,0.002
572,6,73,0,0.0
573,6,74,1,0.001
574,6,75,1,0.001
575,6,76,1,0.001
576,6,77,0,0.0
577,6,78,0,0.0
578,6,79,1,0.001
579,6,80,0,0.0
580,6,81,0,0.0
581,6,82,1,0.001
582,6,83,2,0.002
583,6,84,1,0.001
584,6,85,2,0.002
585,6,86,0,0.0
586,6,87,0,0.0
587,6,88,0,0.0
588,6,89,0,0.0
589,6,90,0,0.0
590,6,91,0,0.0
591,6,92,0,0.0
592,6,93,0,0.0
593,6,94,0,0.0
594,6,95,0,0.0
595,6,96,0,0.0
596,6,97,0,0.0
597,6,98,0,0.0
598,6,99,0,0.0
599,6,100,0,0.0
600,7,1,35,0.035
601,7,2,42,0.042
602,7,3,38,0.038
603,7,4,44,0.044
604,7,5,32,0.032
605,7,6,35,0.035
606,7,7,31,0.031
607,7,8,25,0.025
608,7,9,29,0.029
609,7,10,37,0.037
610,7,11,19,0.019
611,7,12,25,0.025
612,7,13,23,0.023
613,7,14,30,0.03
614,7,15,23,0.023
